Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,pageranks,indegree,outdegree,Degree
1712,,,10,0.206368,0.217861,238740.372644,0.024157,0,0.000079,11,3,14
1713,,,11,0.191335,0.201428,15003.342537,0.001093,0,0.000015,1,5,6
1714,,,10,0.195639,0.206543,411770.361559,0.090405,0,0.000114,29,12,41
1715,,,4,0.4,0.520833,3,0.000821,0,0.000012,1,1,2
1716,,,1,1,1,1,0.000821,0,0.000016,1,1,2
1717,,,0,0,0,0,0.032295,0,0.000127,7,0,7
1718,,,1,1,1,1155.397778,0.012661,0,0.000151,3,2,5
1719,,,11,0.167151,0.173642,118583.452039,0.06409,0,0.000083,18,3,21
1720,,,12,0.17563,0.183633,286081.762745,0.110301,0,0.000171,31,13,44
1721,,,11,0.182705,0.191301,0,0,0,0.000011,0,5,5
1722,,,11,0.170279,0.177888,0,0,0,0.000011,0,10,10
1723,,,12,0.14701,0.151659,20083.353587,0.007573,0,0.000017,2,4,6
1724,,,10,0.195858,0.20719,72564.14505,0.028071,0,0.000027,7,8,15
1725,,,11,0.184799,0.1935,171782.080812,0.046623,0,0.000108,15,6,21
1726,,,12,0.166745,0.172812,20227.164795,0.047607,0,0.000029,4,2,6
1727,,,12,0.167111,0.173814,0,0,22,0.000011,0,5,5
1728,,,12,0.174636,0.182496,5826.455366,0.003285,0,0.000017,4,7,11
1729,,,0,0,0,0,0.006624,0,0.000014,2,0,2
1730,,,12,0.156667,0.161923,75559.247385,0.03129,0,0.000061,10,1,11
1731,,,11,0.185758,0.194921,77157.300742,0.004452,0,0.000067,2,5,7
1732,,,10,0.196232,0.207114,69621.928651,0.005267,0,0.000027,2,7,9
1733,,,13,0.147774,0.152,794.395443,0.005065,0,0.000019,4,3,7
1734,,,12,0.165509,0.171905,297.401183,0.001031,0,0.000012,1,4,5
1735,,,11,0.201186,0.213163,67271.545833,0.003146,0,0.000027,3,13,16
1736,,,11,0.185937,0.194325,104443.591967,0.008777,0,0.000042,2,6,8
1737,,,1,1,1,0,0,0,0.000011,0,1,1
1738,,,0,0,0,0,0.009679,0,0.000046,6,0,6
1739,,,13,0.136191,0.139517,0,0,0,0.000011,0,1,1
1740,,,12,0.157651,0.162898,20819.228363,0.011938,0,0.000035,7,2,9
1741,,,11,0.166801,0.173201,13470,0.001938,0,0.000021,2,6,8
1742,,,2,0.6,0.666667,931.050723,0.007691,0,0.000037,5,1,6
1743,,,11,0.211091,0.226412,128985.946044,0.012123,0,0.000013,1,44,45
1744,,,3,0.444444,0.541667,0,0,0,0.000011,0,1,1
1745,,,11,0.199449,0.211304,0,0,0,0.000011,0,13,13
1746,,,3,0.444444,0.541667,606.215048,0.002704,0,0.000013,2,1,3
1747,,,10,0.226406,0.243339,2541602.520142,0.237207,0,0.000234,52,35,87
1748,,,0,0,0,0,0.028289,0,0.000035,5,0,5
1749,,,0,0,0,0,0.031937,0,0.000047,7,0,7
1750,,,11,0.182675,0.191116,0,0,0,0.000011,0,3,3
1751,,,1,1,1,0,0,0,0.000011,0,1,1
1752,,,10,0.238617,0.258159,1474511.114462,0.056992,0,0.000166,18,39,57
1753,,,12,0.151884,0.1564,15002.460636,0.007551,0,0.000027,3,3,6
1754,,,13,0.131865,0.13478,0,0,0,0.000011,0,1,1
1755,,,2,0.6,0.666667,0,0,0,0.000011,0,1,1
1756,,,1,1,1,14573.348846,0.034071,0,0.000096,20,2,22
1757,,,2,0.625,0.7,0,0,0,0.000011,0,2,2
1758,,,12,0.175972,0.183413,128132.728137,0.008201,0,0.00003,4,3,7
1759,,,12,0.173174,0.180415,0,0,0,0.000011,0,6,6
1760,,,2,0.6,0.666667,0,0,0,0.000011,0,1,1
1761,,,12,0.160647,0.166331,0,0,0,0.000011,0,2,2
1762,,,11,0.203555,0.216628,63655.311739,0.001219,0,0.000014,1,26,27
1763,,,11,0.181527,0.190436,217519.388619,0.075862,0,0.00016,23,7,30
1764,,,12,0.160165,0.166079,0,0,0,0.000011,0,4,4
1765,,,10,0.204967,0.216776,0,0,0,0.000011,0,6,6
1766,,,12,0.163765,0.169904,0,0,0,0.000011,0,3,3
1767,,,11,0.177101,0.184674,9782.175653,0.007573,0,0.00002,2,1,3
1768,,,0,0,0,0,0.011438,0,0.000059,3,0,3
1769,,,12,0.16871,0.174742,0,0,0,0.000011,0,3,3
1770,,,11,0.206955,0.219626,244304.486106,0.019509,0,0.000057,5,10,15
1771,,,11,0.191339,0.201188,93004.849161,0.025213,0,0.000047,10,4,14
1772,,,0,0,0,0,0.016097,0,0.000041,4,0,4
1773,,,1,1,1,0,0,0,0.000011,0,2,2
1774,,,13,0.130747,0.133888,0,0,0,0.000011,0,1,1
1775,,,12,0.150401,0.155248,32226.30579,0.00405,0,0.000026,3,1,4
1776,,,11,0.179846,0.187658,0,0,0,0.000011,0,1,1
1777,,,11,0.180865,0.188923,0,0,0,0.000011,0,2,2
1778,,,10,0.224558,0.23908,1487.900882,0.001938,0,0.000012,2,8,10
1779,,,14,0.133317,0.136337,13479.954167,0.000957,0,0.000016,1,1,2
1780,,,12,0.146172,0.1507,0,0,0,0.000011,0,1,1
1781,,,11,0.171183,0.178741,14793.985926,0.001779,0,0.000023,2,2,4
1782,,,11,0.189882,0.199154,13471,0.000821,0,0.000021,1,8,9
1783,,,11,0.188248,0.197858,152606.736922,0.024855,0,0.000061,9,7,16
1784,,,0,0,0,0,0.019352,0,0.000071,5,1,6
1785,,,11,0.157326,0.162709,353.232178,0.001263,0,0.000013,1,2,3
1786,,,10,0.186674,0.195951,44399.792862,0.007893,0,0.000024,3,3,6
1787,,,10,0.224613,0.241863,1603487.410373,0.064689,0,0.000151,17,50,67
1788,,,0,0,0,0,0.007076,0,0.000018,2,0,2
1789,,,10,0.237276,0.255208,913808.314809,0.043576,0,0.00006,11,30,41
1790,,,12,0.168421,0.174301,0,0,0,0.000011,0,1,1
1791,,,12,0.159715,0.165072,293.985284,0.001643,0,0.000013,2,6,8
1792,,,0,0,0,0,0.002672,0,0.000017,2,0,2
1793,,,11,0.191473,0.200723,68929.200766,0.006567,0,0.000033,4,8,12
1794,,,1,1,1,500.361477,0.024616,0,0.000106,7,1,8
1795,,,11,0.190259,0.200396,0,0,0,0.000011,0,9,9
1796,,,2,0.666667,0.75,0,0,0,0.000011,0,1,1
1797,,,11,0.197875,0.208537,437409.489527,0.098391,0,0.000185,29,15,44
1798,,,13,0.145598,0.149669,56154.453099,0.01787,0,0.000078,14,2,16
1799,,,10,0.211492,0.22416,40153.15748,0.001973,0,0.000041,1,10,11
1800,,,10,0.230486,0.247811,2952778.17834,0.252897,0,0.000451,85,34,119
1801,,,0,0,0,0,0.009772,0,0.00002,2,0,2
1802,,,12,0.152917,0.157618,43.454049,0.001354,0,0.000015,1,2,3
1803,,,11,0.18148,0.189461,114579.150113,0.031593,0,0.000049,6,4,10
1804,,,11,0.2212,0.237033,1110309.574373,0.119287,0,0.000153,44,37,81
1805,,,11,0.184828,0.194034,0,0,0,0.000011,0,4,4
1806,,,11,0.167608,0.17452,0,0,0,0.000011,0,5,5
1807,,,11,0.208156,0.221278,0,0,0,0.000011,0,10,10
1808,,,12,0.176497,0.183842,0,0,0,0.000011,0,3,3
1809,,,12,0.17624,0.183408,19743.381925,0.001643,0,0.000023,2,1,3
1810,,,12,0.157536,0.16287,0,0,0,0.000011,0,1,1
1811,,,11,0.186981,0.196378,13480,0.000821,0,0.000021,1,9,10
1812,,,11,0.201183,0.212117,737215.953929,0.08294,0,0.000068,6,9,15
1813,,,0,0,0,0,0.008324,0,0.000013,1,0,1
1814,,,0,0,0,0,0.012123,0,0.000013,1,0,1
1815,,,0,0,0,0,0.007709,0,0.000018,2,0,2
1816,,,11,0.20943,0.222578,509443.05736,0.0574,0,0.00007,11,21,32
1817,,,0,0,0,0,0.040701,0,0.000022,3,0,3
1818,,,11,0.206141,0.219752,38280.260166,0.003027,0,0.000031,3,17,20
1819,,,0,0,0,0,0.005069,0,0.000014,2,0,2
1820,,,10,0.203429,0.215349,114286.294011,0.004605,0,0.000031,4,26,30
1821,,,11,0.197945,0.208473,14858.71045,0.002287,0,0.000014,2,3,5
1822,,,12,0.170078,0.176832,0,0,0,0.000011,0,6,6
1823,,,12,0.17624,0.183408,0,0,0,0.000011,0,1,1
1824,,,11,0.180662,0.188836,48605.092904,0.000982,0,0.000017,1,5,6
1825,,,11,0.18983,0.19874,0,0,0,0.000011,0,1,1
1826,,,11,0.211548,0.224499,171339.958668,0.015075,0,0.000034,7,14,21
1827,,,11,0.190952,0.200018,0,0,0,0.000011,0,2,2
1828,,,11,0.201367,0.212518,721881.461003,0.111253,0,0.000186,41,4,45
1829,,,11,0.18983,0.19874,0,0,0,0.000011,0,1,1
1830,,,11,0.18983,0.19874,0,0,0,0.000011,0,1,1
1831,,,11,0.168681,0.175123,43283.728553,0.012,0,0.000032,5,5,10
1832,,,12,0.169836,0.176641,0,0,0,0.000011,0,9,9
1833,,,12,0.154897,0.160109,52456.134147,0.027702,0,0.000065,5,4,9
1834,,,11,0.185876,0.195602,78889.807623,0.026534,0,0.000041,7,14,21
1835,,,12,0.157829,0.163441,13615.359234,0.005362,0,0.00003,5,3,8
1836,,,12,0.15382,0.158882,26601.893314,0.009532,0,0.000028,3,4,7
1837,,,11,0.208467,0.221121,297494.400068,0.017249,0,0.000092,9,19,28
1838,,,12,0.157181,0.16244,0,0,0,0.000011,0,2,2
1839,,,12,0.166122,0.172295,74560.225291,0.042104,0,0.000097,11,1,12
1840,,,11,0.20053,0.211847,268140.510595,0.031627,0,0.000091,9,10,19
1841,,,11,0.20285,0.214579,193486.926731,0.030354,0,0.000093,16,10,26
1842,,,12,0.163556,0.169554,0,0,0,0.000011,0,2,2
1843,,,11,0.194532,0.204544,0,0,0,0.000011,0,4,4
1844,,,12,0.163904,0.169995,0,0,0,0.000011,0,2,2
1845,,,11,0.196007,0.206855,157631.242895,0.020763,0,0.00006,9,7,16
1846,,,12,0.154209,0.15918,54313.10861,0.030012,0,0.000034,3,2,5
1847,,,11,0.182308,0.190778,56920.509866,0.00501,0,0.000028,2,3,5
1848,,,1,1,1,0,0,6,0.000011,0,1,1
1849,,,0,0,0,0,0.000821,6,0.000021,1,0,1
1850,,,1,1,1,0,0,0,0.000011,0,1,1
1851,,,0,0,0,0,0.026534,0,0.000101,12,0,12
1852,,,1,1,1,0,0,0,0.000011,0,1,1
1853,,,13,0.144041,0.148159,15153.766406,0.006345,0,0.000026,3,2,5
1854,,,1,1,1,0,0,0,0.000011,0,1,1
1855,,,1,1,1,0,0,0,0.000011,0,1,1
1856,,,11,0.201638,0.214311,1026419.626046,0.15661,0,0.000278,44,23,67
1857,,,11,0.182202,0.190671,107595.556311,0.010359,0,0.000035,4,10,14
1858,,,11,0.175765,0.183304,0,0,0,0.000011,0,3,3
1859,,,12,0.179559,0.187946,83410.584874,0.022454,0,0.000013,1,7,8
1860,,,1,1,1,0,0,0,0.000011,0,1,1
1861,,,12,0.155539,0.161233,668.974588,0.001936,0,0.000014,2,5,7
1862,,,1,1,1,0,0,0,0.000011,0,1,1
1863,,,0,0,0,0,0.016057,0,0.00003,5,0,5
1864,,,11,0.179136,0.186737,11476.162875,0.022454,0,0.000013,1,3,4
1865,,,1,1,1,0,0,0,0.000011,0,1,1
1866,,,11,0.201093,0.212577,207605.504128,0.022368,0,0.000051,7,14,21
1867,,,0,0,0,0,0.00278,0,0.000015,1,0,1
1868,,,12,0.164264,0.170359,0,0,0,0.000011,0,3,3
1869,,,1,1,1,1,0.000821,0,0.000015,1,1,2
1870,,,12,0.157686,0.163513,24404.610803,0.005106,0,0.000027,4,6,10
1871,,,12,0.163546,0.169167,0,0,0,0.000011,0,1,1
1872,,,13,0.143327,0.147365,0,0,0,0.000011,0,1,1
1873,,,13,0.143327,0.147365,0,0,0,0.000011,0,1,1
1874,,,12,0.154525,0.159812,0,0,0,0.000011,0,5,5
1875,,,11,0.207891,0.22026,415258.185964,0.030362,0,0.000051,9,22,31
1876,,,11,0.188654,0.198046,691542.589538,0.11894,0,0.000433,38,10,48
1877,,,11,0.173141,0.179772,13469,0.000821,0,0.000021,1,2,3
1878,,,12,0.170719,0.17778,0,0,0,0.000011,0,9,9
1879,,,0,0,0,0,0.000821,0,0.000012,1,0,1
1880,,,11,0.231922,0.249684,26898.595533,0.001643,0,0.000024,2,29,31
1881,,,0,0,0,0,0.01919,0,0.000051,4,0,4
1882,,,13,0.144112,0.14822,16347.888759,0.003971,0,0.000042,3,2,5
1883,,,12,0.168361,0.175156,104093.103267,0.01685,0,0.000062,13,7,20
1884,,,11,0.184809,0.193299,0,0,0,0.000011,0,8,8
1885,,,11,0.186002,0.194599,4371.043836,0.001643,0,0.000016,2,8,10
1886,,,0,0,0,0,0.006999,0,0.000014,2,0,2
1887,,,10,0.226863,0.243108,0,0,0,0.000011,0,27,27
1888,,,10,0.214659,0.228254,799.781087,0.000821,0,0.000012,1,17,18
1889,,,11,0.198389,0.209732,0,0,0,0.000011,0,15,15
1890,,,1,1,1,2160.494299,0.03989,0,0.000124,14,2,16
1891,,,12,0.172921,0.180152,0,0,0,0.000011,0,6,6
1892,,,2,0.666667,0.75,0,0,0,0.000011,0,2,2
1893,,,12,0.17139,0.178245,81177.17926,0.025213,0,0.000062,8,4,12
1894,,,0,0,0,0,0.005242,0,0.00002,3,0,3
1895,,,12,0.176973,0.185148,56315.838973,0.005627,0,0.000024,4,7,11
1896,,,0,0,0,0,0.003441,0,0.00002,3,0,3
1897,,,11,0.185161,0.194255,0,0,26,0.000011,0,5,5
1898,,,10,0.220776,0.23725,840696.496292,0.052879,0,0.00005,6,41,47
1899,,,11,0.2147,0.228763,0,0,0,0.000011,0,17,17
1900,,,11,0.198872,0.209421,98756.070925,0.011416,0,0.000026,4,3,7
1901,,,11,0.167959,0.174735,1389.252047,0.001093,0,0.000013,1,1,2
1902,,,10,0.223376,0.238319,51195.062896,0.002092,0,0.000012,1,15,16
1903,,,10,0.211362,0.224757,44880.840438,0.001873,0,0.000027,1,24,25
1904,,,10,0.230826,0.24817,374001.458735,0.03733,0,0.000034,6,22,28
1905,,,11,0.182749,0.191773,0,0,0,0.000011,0,5,5
1906,,,10,0.202435,0.213369,0,0,0,0.000011,0,6,6
1907,,,11,0.196559,0.206479,112969.018706,0.033575,0,0.000071,4,3,7
1908,,,12,0.172971,0.180456,0,0,0,0.000011,0,10,10
1909,,,12,0.145803,0.150009,8277.196535,0.019773,0,0.000066,6,1,7
1910,,,13,0.147745,0.152374,606.383712,0.002198,0,0.000013,1,3,4
1911,,,11,0.186385,0.196518,151626.734765,0.036738,0,0.000095,13,16,29
1912,,,10,0.196872,0.207774,328689.587622,0.049404,0,0.00003,8,13,21
1913,,,0,0,0,0,0.004565,0,0.000013,1,0,1
1914,,,0,0,0,0,0.003919,0,0.000013,1,0,1
1915,,,11,0.183503,0.192759,111567.612252,0.016114,0,0.000024,3,8,11
1916,,,12,0.173355,0.180179,0,0,0,0.000011,0,1,1
1917,,,11,0.209694,0.222528,118766.143939,0.007754,0,0.000036,4,18,22
1918,,,12,0.173355,0.180179,0,0,0,0.000011,0,1,1
1919,,,0,0,0,0,0.006595,0,0.000017,4,1,5
1920,,,12,0.149472,0.154052,18783.440635,0.002632,0,0.000012,1,3,4
1921,,,0,0,0,0,0.007637,0,0.000024,3,0,3
1922,,,11,0.182367,0.191104,77176.741463,0.004651,0,0.000015,1,5,6
1923,,,15,0.114946,0.116936,13675.203721,0.028331,0,0.000031,5,1,6
1924,,,16,0.10311,0.104632,0,0,0,0.000011,0,2,2
1925,,,10,0.262146,0.287488,7106622.946865,0.247305,0,0.000321,66,116,182
1926,,,10,0.221531,0.237203,521679.835846,0.025972,0,0.000045,10,35,45
1927,,,1,1,1,0,0,0,0.000011,0,1,1
1928,,,0,0,0,0,0.031017,0,0.000107,11,0,11
1929,,,11,0.180483,0.188587,111191.749125,0.027858,0,0.000121,8,6,14
1930,,,11,0.181326,0.188975,10802.851581,0.00244,0,0.000018,2,4,6
1931,,,12,0.15504,0.160505,17842.824349,0.012585,0,0.000015,1,4,5
1932,,,12,0.16425,0.170323,14447.911167,0.01317,0,0.000058,3,2,5
1933,,,1,1,1,0,0,0,0.000011,0,1,1
1934,,,11,0.183713,0.192361,40497.665602,0.002309,0,0.000022,2,5,7
1935,,,10,0.217341,0.231525,270767.807745,0.014481,0,0.000128,7,17,24
1936,,,13,0.143671,0.148149,25117.967903,0.011199,0,0.000017,5,3,8
1937,,,11,0.171759,0.178546,0,0,0,0.000011,0,2,2
1938,,,10,0.212808,0.226714,1272424.283936,0.18162,0,0.000399,38,15,53
1939,,,12,0.15459,0.159691,54912.949123,0.001149,0,0.000012,1,2,3
1940,,,10,0.21138,0.225485,13470,0.001938,0,0.000021,2,23,25
1941,,,11,0.195588,0.206235,244503.11313,0.041652,0,0.000049,10,10,20
1942,,,11,0.216135,0.231043,2647613.768514,0.384755,0,0.0005,90,28,118
1943,,,2,0.666667,0.75,17815.507727,0.116105,0,0.000149,12,1,13
1944,,,3,0.5,0.611111,440.368987,0.018383,0,0.000023,6,2,8
1945,,,11,0.202871,0.214648,233709.487694,0.033939,0,0.000078,9,7,16
1946,,,10,0.19248,0.202379,48384.198692,0.008098,0,0.000019,2,13,15
1947,,,11,0.17873,0.187028,64122.035493,0.010529,0,0.000067,5,4,9
1948,,,11,0.198234,0.209271,2748.707991,0.001643,0,0.000014,2,9,11
1949,,,10,0.192656,0.202452,83264.135896,0.012882,0,0.00006,8,6,14
1950,,,13,0.127969,0.130875,0,0,0,0.000011,0,1,1
1951,,,11,0.186269,0.195321,229357.003173,0.032042,0,0.000126,18,9,27
1952,,,12,0.172207,0.179296,0,0,0,0.000011,0,4,4
1953,,,13,0.127977,0.130939,881.869757,0.016671,0,0.000034,2,2,4
1954,,,11,0.171068,0.178515,0,0,0,0.000011,0,9,9
1955,,,12,0.194827,0.205765,153218.545352,0.043468,0,0.000058,2,13,15
1956,,,12,0.17222,0.178564,0,0,0,0.000011,0,2,2
1957,,,12,0.177063,0.184431,0,0,0,0.000011,0,5,5
1958,,,11,0.185036,0.193286,257433.813004,0.047931,0,0.000126,19,4,23
1959,,,13,0.148208,0.153131,0,0,0,0.000011,0,4,4
1960,,,11,0.212436,0.225684,291955.292105,0.019711,0,0.000073,11,18,29
1961,,,10,0.233378,0.251791,1449638.949666,0.054607,0,0.000054,15,34,49
1962,,,11,0.171773,0.178543,4111.421041,0.01206,0,0.000021,3,1,4
1963,,,11,0.231879,0.249117,0,0,0,0.000011,0,11,11
1964,,,0,0,0,0,0.011779,0,0.000042,7,0,7
1965,,,1,1,1,0,0,0,0.000011,0,3,3
1966,,,1,1,1,0,0,0,0.000011,0,1,1
1967,,,11,0.193536,0.203243,235548.645026,0.078364,0,0.000082,17,6,23
1968,,,0,0,0,0,0.007035,0,0.000023,1,0,1
1969,,,12,0.160897,0.166426,0,0,0,0.000011,0,1,1
1970,,,12,0.167512,0.173909,0,0,0,0.000011,0,3,3
1971,,,12,0.181472,0.190498,4928.973786,0.001643,0,0.000015,2,5,7
1972,,,12,0.159037,0.164917,0,0,0,0.000011,0,1,1
1973,,,11,0.202648,0.215035,84493.567133,0.011716,0,0.000026,5,9,14
1974,,,12,0.159037,0.164917,13469,0.000821,0,0.000021,1,1,2
1975,,,11,0.187179,0.19618,9083.71419,0.001643,0,0.000017,2,6,8
1976,,,12,0.170857,0.177194,9928.514722,0.005773,0,0.000023,3,3,6
1977,,,12,0.164543,0.170713,66836.45685,0.028985,0,0.000054,7,5,12
1978,,,0,0,0,0,0.012414,22,0.000024,2,0,2
1979,,,11,0.17338,0.180134,0,0,22,0.000011,0,5,5
1980,,,12,0.153087,0.157853,0,0,0,0.000011,0,2,2
1981,,,11,0.180734,0.188782,13468,0.000821,0,0.000016,1,4,5
1982,,,10,0.215416,0.229108,417370.443275,0.066435,0,0.000061,7,9,16
1983,,,11,0.177651,0.185253,0,0,0,0.000011,0,1,1
1984,,,11,0.194164,0.204782,75858.03344,0.013713,0,0.000043,7,9,16
1985,,,0,0,0,0,0.004655,0,0.000016,2,0,2
1986,,,12,0.147836,0.152037,4571.077183,0.014689,0,0.000024,1,2,3
1987,,,11,0.180645,0.189301,183152.644446,0.040194,0,0.000076,7,11,18
1988,,,10,0.198178,0.209227,362923.382211,0.084998,0,0.000112,19,8,27
1989,,,11,0.16541,0.171518,3352.310553,0.007122,0,0.000016,1,1,2
1990,,,11,0.170639,0.177488,5252.570725,0.006424,0,0.000026,3,4,7
1991,,,10,0.223102,0.238798,255151.719642,0.001513,0,0.000017,1,34,35
1992,,,12,0.148699,0.153155,77014.759122,0.061173,0,0.000122,17,1,18
1993,,,12,0.14476,0.148969,36719.137889,0.00947,0,0.000025,4,6,10
1994,,,11,0.188765,0.198375,148629.648689,0.012102,0,0.000054,9,12,21
1995,,,11,0.194329,0.204667,60706.522791,0.014681,0,0.000015,3,7,10
1996,,,11,0.189875,0.198985,262774.564384,0.04211,0,0.000181,16,13,29
1997,,,12,0.164352,0.170018,93995.850704,0.017088,0,0.000068,5,5,10
1998,,,11,0.191642,0.201497,0,0,0,0.000011,0,1,1
1999,,,10,0.237058,0.257427,2964297.089583,0.140743,0,0.000249,37,44,81
2000,,,10,0.213125,0.227601,2715706.59384,0.342275,0,0.000516,60,35,95
2001,,,11,0.179134,0.186913,72681.878978,0.013542,0,0.000026,4,6,10
2002,,,0,0,0,0,0.023279,0,0.000051,7,0,7
2003,,,12,0.157143,0.162777,0,0,0,0.000011,0,3,3
2004,,,1,1,1,0,0,0,0.000011,0,1,1
2005,,,10,0.218063,0.233616,1065863.394252,0.06803,0,0.0001,15,35,50
2006,,,11,0.188641,0.198516,0,0,0,0.000011,0,10,10
2007,,,11,0.185362,0.193869,63844.501556,0.027768,0,0.000046,8,1,9
2008,,,14,0.125969,0.128692,20468.223176,0.007189,0,0.000034,3,1,4
2009,,,1,1,1,163.117154,0.002341,0,0.000014,1,2,3
2010,,,0,0,0,0,0.042708,0,0.000064,8,0,8
2011,,,1,1,1,643.013789,0.014109,0,0.000018,2,1,3
2012,,,13,0.164182,0.170467,0,0,0,0.000011,0,2,2
2013,,,12,0.162316,0.168262,0,0,0,0.000011,0,2,2
2014,,,11,0.191844,0.202065,67052.417752,0.031478,0,0.000042,7,7,14
2015,,,12,0.161598,0.167533,0,0,0,0.000011,0,2,2
2016,,,11,0.199101,0.209537,0,0,44,0.000011,0,4,4
2017,,,0,0,0,0,0.000821,44,0.000014,1,0,1
2018,,,11,0.201126,0.212594,91252.855774,0.015202,0,0.000027,2,11,13
2019,,,0,0,0,0,0.001933,0,0.000014,1,0,1
2020,,,11,0.175646,0.18343,19826.7182,0.007087,0,0.000029,3,4,7
2021,,,12,0.164897,0.170896,128265.78539,0.055355,0,0.000069,8,4,12
2022,,,12,0.163164,0.168572,0,0,0,0.000011,0,2,2
2023,,,11,0.194951,0.204426,73022.705118,0.022113,0,0.000045,6,3,9
2024,,,11,0.19805,0.208122,183583.335284,0.029307,0,0.000085,13,7,20
2025,,,12,0.184284,0.192925,22712.187757,0.006839,0,0.000024,3,8,11
2026,,,0,0,0,0,0.005595,0,0.000029,2,0,2
2027,,,12,0.161182,0.167035,0,0,0,0.000011,0,3,3
2028,,,13,0.151349,0.155824,0,0,0,0.000011,0,1,1
2029,,,12,0.178327,0.185842,27524.133991,0.00351,0,0.000032,3,2,5
2030,,,0,0,0,0,0.004601,0,0.00003,4,0,4
2031,,,1,1,1,0,0,0,0.000011,0,1,1
2032,,,2,0.75,0.833333,0,0,0,0.000011,0,2,2
2033,,,11,0.224379,0.240782,0,0,0,0.000011,0,35,35
2034,,,11,0.180482,0.18802,0,0,0,0.000011,0,1,1
2035,,,10,0.220213,0.234802,989111.643428,0.055881,0,0.000213,26,17,43
2036,,,11,0.180482,0.18802,5513.990855,0.001643,0,0.000015,2,1,3
2037,,,11,0.184936,0.193121,51490.440228,0.007778,0,0.000019,3,4,7
2038,,,10,0.197794,0.207892,0,0,0,0.000011,0,5,5
2039,,,11,0.188507,0.197485,0,0,0,0.000011,0,5,5
2040,,,11,0.182644,0.190482,50119.205588,0.017575,0,0.000028,3,4,7
2041,,,11,0.180482,0.18802,0,0,0,0.000011,0,1,1
2042,,,11,0.180478,0.188016,19720.744955,0.022904,0,0.000024,6,1,7
2043,,,11,0.180482,0.18802,0,0,0,0.000011,0,1,1
2044,,,11,0.180482,0.18802,0,0,0,0.000011,0,1,1
2045,,,11,0.187141,0.196195,0,0,0,0.000011,0,3,3
2046,,,0,0,0,0,0.000821,0,0.000015,1,0,1
2047,,,12,0.146702,0.151095,0,0,0,0.000011,0,3,3
2048,,,13,0.136029,0.139351,1194.854679,0.011913,0,0.000025,5,1,6
2049,,,11,0.189946,0.199903,0,0,0,0.000011,0,6,6
2050,,,11,0.200152,0.211288,90130.560968,0.018175,0,0.000034,10,9,19
2051,,,11,0.206093,0.218227,625782.703223,0.061587,0,0.000071,8,17,25
2052,,,11,0.183916,0.191796,124876.611147,0.02303,0,0.000086,10,5,15
2053,,,13,0.141901,0.145826,66429.615031,0.01608,0,0.000055,5,4,9
2054,,,0,0,0,0,0.02021,0,0.000041,7,0,7
2055,,,12,0.155058,0.160517,40607.498991,0.003517,0,0.000041,4,5,9
2056,,,11,0.211356,0.225065,971458.627884,0.034779,0,0.000207,6,18,24
2057,,,0,0,0,0,0.003556,0,0.000021,1,0,1
2058,,,12,0.194301,0.204032,195666.099579,0.041198,0,0.000091,18,4,22
2059,,,12,0.176789,0.184122,23246.580595,0.02241,0,0.000048,7,3,10
2060,,,10,0.201792,0.213652,243523.306059,0.017724,0,0.000067,8,14,22
2061,,,11,0.172439,0.179084,0,0,0,0.000011,0,1,1
2062,,,10,0.208354,0.220715,128045.362352,0.011256,0,0.000038,5,13,18
2063,,,11,0.1803,0.188269,0,0,0,0.000011,0,9,9
2064,,,10,0.203582,0.21647,65513.243432,0.003609,0,0.000014,1,23,24
2065,,,11,0.180616,0.188766,19060.965056,0.001643,0,0.000026,2,5,7
2066,,,12,0.165331,0.170988,0,0,0,0.000011,0,2,2
2067,,,11,0.177159,0.18541,85884.637888,0.012051,0,0.000061,10,10,20
2068,,,0,0,0,0,0.002431,0,0.000017,1,0,1
2069,,,11,0.189201,0.198575,0,0,0,0.000011,0,3,3
2070,,,10,0.231337,0.249645,1748276.790534,0.09661,0,0.000141,24,38,62
2071,,,1,1,1,0,0,0,0.000011,0,1,1
2072,,,0,0,0,0,0.010344,0,0.000058,5,0,5
2073,,,2,0.666667,0.75,0,0,0,0.000011,0,1,1
2074,,,1,1,1,483.679942,0.073851,0,0.000071,11,1,12
2075,,,0,0,0,0,0.00349,0,0.000013,1,0,1
2076,,,0,0,0,0,0.011922,0,0.000017,2,0,2
2077,,,12,0.188356,0.197333,0,0,0,0.000011,0,3,3
2078,,,11,0.177739,0.185464,104464.111501,0.016937,0,0.000036,4,3,7
2079,,,10,0.214879,0.229055,282648.885612,0.015675,0,0.000066,9,19,28
2080,,,0,0,0,0,0.005251,0,0.000035,5,0,5
2081,,,1,1,1,0,0,0,0.000011,0,1,1
2082,,,13,0.152743,0.157743,0,0,0,0.000011,0,2,2
2083,,,11,0.180731,0.189247,0,0,0,0.000011,0,2,2
2084,,,0,0,0,0,0.004949,0,0.000031,1,0,1
2085,,,0,0,0,0,0.004445,0,0.000019,1,0,1
2086,,,15,0.112979,0.114998,55760.631861,0.008293,0,0.000041,5,1,6
2087,,,14,0.127359,0.130238,50961.631861,0.001757,0,0.000046,1,1,2
2088,,,12,0.169096,0.175681,11357.895512,0.017981,0,0.000026,6,3,9
